question,slots,intent_list
공항 출국 장 에 수하물 맡기는 데 오래 걸릴까,"{""area"": ""departure"", ""is_daily"": false, ""date_type"": ""today"", ""areas"": [""출국장""]}","[""airport_congestion_prediction""]"
수속 카운터 마다 줄 차이 가 있나,"{""location_keyword"": ""수속"", ""is_daily"": false, ""date_type"": ""today""}","[""airport_congestion_prediction""]"
공항 게이트 앞 상황 은 어떤지 알 수 있을까,"{""is_daily"": false, ""date_type"": ""today""}","[""airport_congestion_prediction""]"
오늘 수속 시간 평균 보다 길어졌을까,"{""location_keyword"": ""수속"", ""date"": ""오늘"", ""is_daily"": false, ""date_type"": ""today""}","[""airport_congestion_prediction""]"
오늘 공항 체크 인 데스크 붐비는 항공사 어디 야,"{""date"": ""오늘"", ""is_daily"": false, ""date_type"": ""today"", ""congestion_keywords"": [""붐비""]}","[""airport_congestion_prediction""]"
공항 수속 혼잡 도 앱 데이터 랑 실제 상황 비슷해,"{""location_keyword"": ""수속"", ""is_daily"": false, ""date_type"": ""today"", ""congestion_keywords"": [""혼잡도"", ""혼잡""]}","[""airport_congestion_prediction""]"
오늘 공항 체크 인 인파 는 예측 대로 야,"{""date"": ""오늘"", ""is_daily"": false, ""date_type"": ""today""}","[""airport_congestion_prediction""]"
지금 공항 혼잡 도 지수 어떻게 돼,"{""vague_time"": ""지금"", ""is_daily"": false, ""date_type"": ""today"", ""congestion_keywords"": [""혼잡도"", ""혼잡""]}","[""airport_congestion_prediction""]"
수속 줄 줄어드는 시간대 가 있긴 해,"{""location_keyword"": ""수속"", ""is_daily"": false, ""date_type"": ""today""}","[""airport_congestion_prediction""]"
공항 수속 줄 때문 에 비행기 놓칠 수도 있어,"{""location_keyword"": ""수속"", ""is_daily"": false, ""date_type"": ""today""}","[""airport_congestion_prediction""]"
내일 공항 수속 여유 있는 시간 은 언제 야,"{""location_keyword"": ""수속"", ""date"": ""내일"", ""is_daily"": false, ""date_type"": ""tomorrow""}","[""airport_congestion_prediction""]"
공항 출국 장 CCTV 보면 많이 붐비는 것 같아,"{""area"": ""departure"", ""is_daily"": false, ""date_type"": ""today"", ""areas"": [""출국장CCTV"", ""출국장""], ""congestion_keywords"": [""붐비""]}","[""airport_congestion_prediction""]"
오늘 오전 공항 수속 구간 어땠어,"{""location_keyword"": ""수속"", ""date"": ""오늘"", ""time_period"": ""오전"", ""is_daily"": false, ""date_type"": ""today""}","[""airport_congestion_prediction""]"
이따가 공항 가면 수속 줄 안 길까,"{""location_keyword"": ""수속"", ""vague_time"": ""이따가"", ""is_daily"": false, ""date_type"": ""today""}","[""airport_congestion_prediction""]"
출국 장 대기 공간 에 사람 많을까,"{""area"": ""departure"", ""is_daily"": false, ""date_type"": ""today"", ""areas"": [""출국장""], ""congestion_keywords"": [""사람""]}","[""airport_congestion_prediction""]"
오늘 체크 인 수속 에 걸리는 시간 알 수 있을까,"{""location_keyword"": ""수속"", ""date"": ""오늘"", ""is_daily"": false, ""date_type"": ""today""}","[""airport_congestion_prediction""]"
공항 수속 구간 에서 오래 기다려야 해,"{""location_keyword"": ""수속"", ""is_daily"": false, ""date_type"": ""today""}","[""airport_congestion_prediction""]"
공항 대기줄이 언제 제일 길까,"{""is_daily"": false, ""date_type"": ""today""}","[""airport_congestion_prediction""]"
수속 끝나고 게이트 까지 가는 길 붐빌까,"{""location_keyword"": ""수속"", ""is_daily"": false, ""date_type"": ""today""}","[""airport_congestion_prediction""]"
공항 내부 수속 처리 속도 어떤 가요,"{""location_keyword"": ""수속"", ""is_daily"": false, ""date_type"": ""today""}","[""airport_congestion_prediction""]"
체크 인 부터 보안 검색 까지 오래 걸릴까,"{""is_daily"": false, ""date_type"": ""today""}","[""airport_congestion_prediction""]"
오늘 보안 검색 대기 시간 길어,"{""area"": ""departure"", ""date"": ""오늘"", ""is_daily"": false, ""date_type"": ""today"", ""congestion_keywords"": [""대기시간""]}","[""airport_congestion_prediction""]"
내일 은 공항 수속 시간 평소 보다 길까,"{""location_keyword"": ""수속"", ""date"": ""내일"", ""is_daily"": false, ""date_type"": ""tomorrow""}","[""airport_congestion_prediction""]"
공항 수속 할 때 여유 있게 가야 할까,"{""location_keyword"": ""수속"", ""is_daily"": false, ""date_type"": ""today""}","[""airport_congestion_prediction""]"
공항 출국 구역 줄 많이 줄었을까,"{""is_daily"": false, ""date_type"": ""today""}","[""airport_congestion_prediction""]"
공항 가면 수속 오래 기다려야 할까 걱정 돼,"{""location_keyword"": ""수속"", ""is_daily"": false, ""date_type"": ""today""}","[""airport_congestion_prediction""]"
공항 수속 빨리 끝내려면 언제 도착 해야 돼,"{""area"": ""arrival"", ""location_keyword"": ""수속"", ""is_daily"": false, ""date_type"": ""today""}","[""airport_congestion_prediction""]"
오늘 체크 인 구역 줄이 제일 짧은 항공사 는,"{""date"": ""오늘"", ""is_daily"": false, ""date_type"": ""today""}","[""airport_congestion_prediction""]"
수속 할 때 대기줄 짧은 데 찾을 수 있어,"{""location_keyword"": ""수속"", ""is_daily"": false, ""date_type"": ""today""}","[""airport_congestion_prediction""]"
오늘 공항 수속 에 얼마나 걸릴지 미리 알 수 있을까,"{""location_keyword"": ""수속"", ""date"": ""오늘"", ""is_daily"": false, ""date_type"": ""today""}","[""airport_congestion_prediction""]"
곧 공항 갈 건데 체크 인 줄 상태 알려줘,"{""vague_time"": ""곧"", ""is_daily"": false, ""date_type"": ""today""}","[""airport_congestion_prediction""]"
오늘 오전 7시 T1 AB 입국 장 얼마나 붐빌까 요,"{""terminal"": [""T1""], ""area"": ""arrival"", ""date"": ""오늘"", ""time_period"": ""오전"", ""hour"": 7, ""is_daily"": false, ""date_type"": ""today"", ""areas"": [""입국장""]}","[""airport_congestion_prediction""]"
내일 아침 8시 T2 입국 장 혼잡 도 좀 알려주세요,"{""terminal"": [""T2""], ""area"": ""arrival"", ""date"": ""내일"", ""time_period"": ""아침"", ""hour"": 8, ""is_daily"": false, ""date_type"": ""tomorrow"", ""areas"": [""입국장""], ""congestion_keywords"": [""혼잡도"", ""혼잡""]}","[""airport_congestion_prediction""]"
오늘 오후 1시 T1 EF 입국 장 에 사람 엄청 많을까요,"{""terminal"": [""T1""], ""area"": ""arrival"", ""date"": ""오늘"", ""time_period"": ""오후"", ""hour"": 1, ""is_daily"": false, ""date_type"": ""today"", ""areas"": [""입국장""], ""congestion_keywords"": [""사람""]}","[""airport_congestion_prediction""]"
내일 저녁 6시 T2 B 입국 장 상황 어때요 좀 한가할까 요,"{""terminal"": [""T2""], ""area"": ""arrival"", ""date"": ""내일"", ""time_period"": ""저녁"", ""hour"": 6, ""is_daily"": false, ""date_type"": ""tomorrow"", ""areas"": [""입국장""]}","[""airport_congestion_prediction""]"
오늘 오전 10시 인천공항 입국 장 전체 다 복잡할까 요,"{""area"": ""arrival"", ""date"": ""오늘"", ""time_period"": ""오전"", ""hour"": ""10"", ""is_daily"": true, ""time_range"": ""합계"", ""date_type"": ""today"", ""areas"": [""입국장""]}","[""airport_congestion_prediction""]"
내일 T1 입국 장 은 언제 제일 사람 많을 것 같아요,"{""terminal"": [""T1""], ""area"": ""arrival"", ""date"": ""내일"", ""is_daily"": false, ""date_type"": ""tomorrow"", ""areas"": [""입국장""], ""congestion_keywords"": [""사람""]}","[""airport_congestion_prediction""]"
오늘 오후 3시 T1 C 입국 장 에 얼마나 올까 요,"{""terminal"": [""T1""], ""area"": ""arrival"", ""date"": ""오늘"", ""time_period"": ""오후"", ""hour"": 3, ""is_daily"": false, ""date_type"": ""today"", ""areas"": [""입국장""]}","[""airport_congestion_prediction""]"
내일 새벽 1시 T2 전체 입국 장 엄청 조용하겠죠,"{""terminal"": [""T2""], ""area"": ""arrival"", ""date"": ""내일"", ""time_period"": ""새벽"", ""hour"": ""1"", ""is_daily"": true, ""time_range"": ""합계"", ""date_type"": ""tomorrow"", ""areas"": [""입국장""]}","[""airport_congestion_prediction""]"
오늘 오전 9시 T1 D 입국 장 에 몇 명 이나 있을까요,"{""terminal"": [""T1""], ""area"": ""arrival"", ""date"": ""오늘"", ""time_period"": ""오전"", ""hour"": 9, ""is_daily"": false, ""date_type"": ""today"", ""areas"": [""입국장""]}","[""airport_congestion_prediction""]"
내일 오후 7시 T1 EF 입국 장 많이 막힐까 요,"{""terminal"": [""T1""], ""area"": ""arrival"", ""date"": ""내일"", ""time_period"": ""오후"", ""hour"": 7, ""is_daily"": false, ""date_type"": ""tomorrow"", ""areas"": [""입국장""]}","[""airport_congestion_prediction""]"
오늘 오후 5시 T2 A 입국 장 에 사람 좀 있나요,"{""terminal"": [""T2""], ""area"": ""arrival"", ""date"": ""오늘"", ""time_period"": ""오후"", ""hour"": 5, ""is_daily"": false, ""date_type"": ""today"", ""areas"": [""입국장""], ""congestion_keywords"": [""사람""]}","[""airport_congestion_prediction""]"
내일 오전 11시 T1 전체 입국 장 현황 좀 봐주세요,"{""terminal"": [""T1""], ""area"": ""arrival"", ""date"": ""내일"", ""time_period"": ""오전"", ""hour"": ""11"", ""is_daily"": true, ""time_range"": ""합계"", ""date_type"": ""tomorrow"", ""areas"": [""입국장""]}","[""airport_congestion_prediction""]"
오늘 밤 10시 인천공항 입국 장 많이 기다려야 해 요,"{""area"": ""arrival"", ""date"": ""오늘"", ""time_period"": ""밤"", ""hour"": 10, ""is_daily"": false, ""date_type"": ""today"", ""areas"": [""입국장""]}","[""airport_congestion_prediction""]"
내일 오후 4시 T2 입국 장 총 몇 명 쯤 들어올까 요,"{""terminal"": [""T2""], ""area"": ""arrival"", ""date"": ""내일"", ""time_period"": ""오후"", ""hour"": 4, ""is_daily"": false, ""date_type"": ""tomorrow"", ""areas"": [""입국장""]}","[""airport_congestion_prediction""]"
오늘 오후 2시 T1 AB 입국 장 지금 어떤 가요,"{""terminal"": [""T1""], ""area"": ""arrival"", ""date"": ""오늘"", ""time_period"": ""오후"", ""hour"": 2, ""is_daily"": false, ""date_type"": ""today"", ""areas"": [""입국장""]}","[""airport_congestion_prediction""]"
내일 아침 6시 T1 C 입국 장 붐빌까 봐 걱정 돼요,"{""terminal"": [""T1""], ""area"": ""arrival"", ""date"": ""내일"", ""time_period"": ""아침"", ""hour"": 6, ""is_daily"": false, ""date_type"": ""tomorrow"", ""areas"": [""입국장""]}","[""airport_congestion_prediction""]"
오늘 정오 12시 T2 B 입국 장 에 예상 인원 수가 어떻게 돼요,"{""terminal"": [""T2""], ""area"": ""arrival"", ""date"": ""오늘"", ""hour"": 12, ""is_daily"": false, ""date_type"": ""today"", ""areas"": [""입국장""]}","[""airport_congestion_prediction""]"
내일 밤 8시 T1 D 입국 장 많이 분주할까 요,"{""terminal"": [""T1""], ""area"": ""arrival"", ""date"": ""내일"", ""time_period"": ""밤"", ""hour"": 8, ""is_daily"": false, ""date_type"": ""tomorrow"", ""areas"": [""입국장""]}","[""airport_congestion_prediction""]"
오늘 아침 8시 인천공항 모든 입국 장 상황 알려주세요,"{""area"": ""arrival"", ""date"": ""오늘"", ""time_period"": ""아침"", ""hour"": 8, ""is_daily"": false, ""date_type"": ""today"", ""areas"": [""입국장""]}","[""airport_congestion_prediction""]"
내일 밤 9시 T1 전체 입국 장 은 얼마나 붐빌까 요,"{""terminal"": [""T1""], ""area"": ""arrival"", ""date"": ""내일"", ""time_period"": ""밤"", ""hour"": ""9"", ""is_daily"": true, ""time_range"": ""합계"", ""date_type"": ""tomorrow"", ""areas"": [""입국장""]}","[""airport_congestion_prediction""]"
오늘 오후 6시 T1 EF 입국 장 에 도착 하는 사람 몇 명 이에요,"{""terminal"": [""T1""], ""area"": ""arrival"", ""date"": ""오늘"", ""time_period"": ""오후"", ""hour"": 6, ""is_daily"": false, ""date_type"": ""today"", ""areas"": [""입국장""], ""congestion_keywords"": [""사람""]}","[""airport_congestion_prediction""]"
내일 새벽 3시 T2 입국 장 은 한산하겠죠,"{""terminal"": [""T2""], ""area"": ""arrival"", ""date"": ""내일"", ""time_period"": ""새벽"", ""hour"": 3, ""is_daily"": false, ""date_type"": ""tomorrow"", ""areas"": [""입국장""]}","[""airport_congestion_prediction""]"
오늘 오전 7시 T1 D 입국 장 예측 인원 좀 알려주세요,"{""terminal"": [""T1""], ""area"": ""arrival"", ""date"": ""오늘"", ""time_period"": ""오전"", ""hour"": 7, ""is_daily"": false, ""date_type"": ""today"", ""areas"": [""입국장""]}","[""airport_congestion_prediction""]"
내일 오후 5시 T1 AB 입국 장 은 평소 랑 비슷할까 요,"{""terminal"": [""T1""], ""area"": ""arrival"", ""date"": ""내일"", ""time_period"": ""오후"", ""hour"": 5, ""is_daily"": false, ""date_type"": ""tomorrow"", ""areas"": [""입국장""]}","[""airport_congestion_prediction""]"
오늘 오후 4시 T2 A 입국 장 에 사람 많이 몰리나 요,"{""terminal"": [""T2""], ""area"": ""arrival"", ""date"": ""오늘"", ""time_period"": ""오후"", ""hour"": 4, ""is_daily"": false, ""date_type"": ""today"", ""areas"": [""입국장""], ""congestion_keywords"": [""사람""]}","[""airport_congestion_prediction""]"
내일 오후 1시 T1 입국 장 전체 얼마나 혼잡할까 요,"{""terminal"": [""T1""], ""area"": ""arrival"", ""date"": ""내일"", ""time_period"": ""오후"", ""hour"": ""1"", ""is_daily"": true, ""time_range"": ""합계"", ""date_type"": ""tomorrow"", ""areas"": [""입국장""], ""congestion_keywords"": [""혼잡""]}","[""airport_congestion_prediction""]"
오늘 밤 11시 인천공항 입국 장 에 사람 많을까요,"{""area"": ""arrival"", ""date"": ""오늘"", ""time_period"": ""밤"", ""hour"": 11, ""is_daily"": false, ""date_type"": ""today"", ""areas"": [""입국장""], ""congestion_keywords"": [""사람""]}","[""airport_congestion_prediction""]"
내일 밤 10시 T2 입국 장 총 예상 인원 이 궁금해요,"{""terminal"": [""T2""], ""area"": ""arrival"", ""date"": ""내일"", ""time_period"": ""밤"", ""hour"": 10, ""is_daily"": false, ""date_type"": ""tomorrow"", ""areas"": [""입국장""]}","[""airport_congestion_prediction""]"
오늘 오후 3시 T1 EF 입국 장 상황 좀 알려줘,"{""terminal"": [""T1""], ""area"": ""arrival"", ""date"": ""오늘"", ""time_period"": ""오후"", ""hour"": 3, ""is_daily"": false, ""date_type"": ""today"", ""areas"": [""입국장""]}","[""airport_congestion_prediction""]"
내일 오전 5시 T1 C 입국 장 혼잡 도 예상 좀 해주세요,"{""terminal"": [""T1""], ""area"": ""arrival"", ""date"": ""내일"", ""time_period"": ""오전"", ""hour"": 5, ""is_daily"": false, ""date_type"": ""tomorrow"", ""areas"": [""입국장""], ""congestion_keywords"": [""혼잡도"", ""혼잡""]}","[""airport_congestion_prediction""]"
오늘 오전 10시 T2 B 입국 장 에 사람 이 얼마나 될까 요,"{""terminal"": [""T2""], ""area"": ""arrival"", ""date"": ""오늘"", ""time_period"": ""오전"", ""hour"": 10, ""is_daily"": false, ""date_type"": ""today"", ""areas"": [""입국장""], ""congestion_keywords"": [""사람""]}","[""airport_congestion_prediction""]"
내일 오후 6시 T1 D 입국 장 괜찮을까요,"{""terminal"": [""T1""], ""area"": ""arrival"", ""date"": ""내일"", ""time_period"": ""오후"", ""hour"": 6, ""is_daily"": false, ""date_type"": ""tomorrow"", ""areas"": [""입국장""]}","[""airport_congestion_prediction""]"
오늘 오전 9시 인천공항 입국 장 전반 적 으로 어때요,"{""area"": ""arrival"", ""date"": ""오늘"", ""time_period"": ""오전"", ""hour"": 9, ""is_daily"": false, ""date_type"": ""today"", ""areas"": [""입국장""]}","[""airport_congestion_prediction""]"
내일 오후 7시 T1 전체 입국 장 인원 수 좀 봐주세요,"{""terminal"": [""T1""], ""area"": ""arrival"", ""date"": ""내일"", ""time_period"": ""오후"", ""hour"": ""7"", ""is_daily"": true, ""time_range"": ""합계"", ""date_type"": ""tomorrow"", ""areas"": [""입국장""]}","[""airport_congestion_prediction""]"
오늘 오후 1시 T1 C 입국 장 에 사람 많나요,"{""terminal"": [""T1""], ""area"": ""arrival"", ""date"": ""오늘"", ""time_period"": ""오후"", ""hour"": 1, ""is_daily"": false, ""date_type"": ""today"", ""areas"": [""입국장""], ""congestion_keywords"": [""사람""]}","[""airport_congestion_prediction""]"
내일 새벽 2시 T2 입국 장 은 한가한 편 인가요,"{""terminal"": [""T2""], ""area"": ""arrival"", ""date"": ""내일"", ""time_period"": ""새벽"", ""hour"": 2, ""is_daily"": false, ""date_type"": ""tomorrow"", ""areas"": [""입국장""]}","[""airport_congestion_prediction""]"
오늘 오후 2시 T1 AB 입국 장 예상 승객 수 알려줘,"{""terminal"": [""T1""], ""area"": ""arrival"", ""date"": ""오늘"", ""time_period"": ""오후"", ""hour"": 2, ""is_daily"": false, ""date_type"": ""today"", ""areas"": [""입국장""]}","[""airport_congestion_prediction""]"
내일 오전 8시 T1 EF 입국 장 복잡할까 요,"{""terminal"": [""T1""], ""area"": ""arrival"", ""date"": ""내일"", ""time_period"": ""오전"", ""hour"": 8, ""is_daily"": false, ""date_type"": ""tomorrow"", ""areas"": [""입국장""]}","[""airport_congestion_prediction""]"
오늘 오후 5시 T2 B 입국 장 에 사람 많을까요,"{""terminal"": [""T2""], ""area"": ""arrival"", ""date"": ""오늘"", ""time_period"": ""오후"", ""hour"": 5, ""is_daily"": false, ""date_type"": ""today"", ""areas"": [""입국장""], ""congestion_keywords"": [""사람""]}","[""airport_congestion_prediction""]"
내일 오전 9시 T1 입국 장 전체 적 으로 어때요,"{""terminal"": [""T1""], ""area"": ""arrival"", ""date"": ""내일"", ""time_period"": ""오전"", ""hour"": ""9"", ""is_daily"": true, ""time_range"": ""합계"", ""date_type"": ""tomorrow"", ""areas"": [""입국장""]}","[""airport_congestion_prediction""]"
오늘 밤 9시 인천공항 입국 장 많이 북적 일까 요,"{""area"": ""arrival"", ""date"": ""오늘"", ""time_period"": ""밤"", ""hour"": 9, ""is_daily"": false, ""date_type"": ""today"", ""areas"": [""입국장""]}","[""airport_congestion_prediction""]"
오전 7시 T1 출국 장 12 구역 오늘 얼마나 붐빌까 요,"{""terminal"": [""T1""], ""area"": ""departure"", ""date"": ""오늘"", ""time_period"": ""오전"", ""hour"": 7, ""is_daily"": false, ""date_type"": ""today"", ""areas"": [""출국장"", ""출국장12""]}","[""airport_congestion_prediction""]"
T2 출국 장 내일 아침 8시 혼잡 도 좀 알려주세요,"{""terminal"": [""T2""], ""area"": ""departure"", ""date"": ""내일"", ""time_period"": ""아침"", ""hour"": 8, ""is_daily"": false, ""date_type"": ""tomorrow"", ""areas"": [""출국장""], ""congestion_keywords"": [""혼잡도"", ""혼잡""]}","[""airport_congestion_prediction""]"
T1 출국 장 3 구역 오늘 오후 1시 에 사람 엄청 많을까요,"{""terminal"": [""T1""], ""area"": ""departure"", ""date"": ""오늘"", ""time_period"": ""오후"", ""hour"": 1, ""is_daily"": false, ""date_type"": ""today"", ""areas"": [""출국장"", ""출국장3""], ""congestion_keywords"": [""사람""]}","[""airport_congestion_prediction""]"
저녁 6시 에 T2 출국 장 2 구역 상황 어때요 내일 좀 한가할까 요,"{""terminal"": [""T2""], ""area"": ""departure"", ""date"": ""내일"", ""time_period"": ""저녁"", ""hour"": 6, ""is_daily"": false, ""date_type"": ""tomorrow"", ""areas"": [""출국장2"", ""출국장""]}","[""airport_congestion_prediction""]"
인천공항 출국 장 전체 오늘 오전 10시 다 복잡할까 요,"{""area"": ""departure"", ""date"": ""오늘"", ""time_period"": ""오전"", ""hour"": ""10"", ""is_daily"": true, ""time_range"": ""합계"", ""date_type"": ""today"", ""areas"": [""출국장""]}","[""airport_congestion_prediction""]"
T1 출국 장 내일 은 언제 제일 사람 많을 것 같아요,"{""terminal"": [""T1""], ""area"": ""departure"", ""date"": ""내일"", ""is_daily"": false, ""date_type"": ""tomorrow"", ""areas"": [""출국장""], ""congestion_keywords"": [""사람""]}","[""airport_congestion_prediction""]"
오후 3시 T1 출국 장 4 구역 에 오늘 얼마나 올까 요,"{""terminal"": [""T1""], ""area"": ""departure"", ""date"": ""오늘"", ""time_period"": ""오후"", ""hour"": 3, ""is_daily"": false, ""date_type"": ""today"", ""areas"": [""출국장4"", ""출국장""]}","[""airport_congestion_prediction""]"
새벽 1시 T2 전체 출국 장 내일 엄청 조용하겠죠,"{""terminal"": [""T2""], ""area"": ""departure"", ""date"": ""내일"", ""time_period"": ""새벽"", ""hour"": ""1"", ""is_daily"": true, ""time_range"": ""합계"", ""date_type"": ""tomorrow"", ""areas"": [""출국장""]}","[""airport_congestion_prediction""]"
T1 출국 장 56 구역 오늘 오전 9시 에 몇 명 이나 있을까요,"{""terminal"": [""T1""], ""area"": ""departure"", ""date"": ""오늘"", ""time_period"": ""오전"", ""hour"": 9, ""is_daily"": false, ""date_type"": ""today"", ""areas"": [""출국장56"", ""출국장""]}","[""airport_congestion_prediction""]"
T1 출국 장 3 구역 내일 오후 7시 많이 막힐까 요,"{""terminal"": [""T1""], ""area"": ""departure"", ""date"": ""내일"", ""time_period"": ""오후"", ""hour"": 7, ""is_daily"": false, ""date_type"": ""tomorrow"", ""areas"": [""출국장"", ""출국장3""]}","[""airport_congestion_prediction""]"
오후 5시 T2 출국 장 1 구역 에 오늘 사람 좀 있나요,"{""terminal"": [""T2""], ""area"": ""departure"", ""date"": ""오늘"", ""time_period"": ""오후"", ""hour"": 5, ""is_daily"": false, ""date_type"": ""today"", ""areas"": [""출국장1"", ""출국장""], ""congestion_keywords"": [""사람""]}","[""airport_congestion_prediction""]"
T1 전체 출국 장 내일 오전 11시 현황 좀 봐주세요,"{""terminal"": [""T1""], ""area"": ""departure"", ""date"": ""내일"", ""time_period"": ""오전"", ""hour"": ""11"", ""is_daily"": true, ""time_range"": ""합계"", ""date_type"": ""tomorrow"", ""areas"": [""출국장""]}","[""airport_congestion_prediction""]"
인천공항 출국 장 오늘 밤 10시 많이 기다려야 해 요,"{""area"": ""departure"", ""date"": ""오늘"", ""time_period"": ""밤"", ""hour"": 10, ""is_daily"": false, ""date_type"": ""today"", ""areas"": [""출국장""]}","[""airport_congestion_prediction""]"
T2 출국 장 내일 오후 4시 에 총 몇 명 쯤 나갈까 요,"{""terminal"": [""T2""], ""area"": ""departure"", ""date"": ""내일"", ""time_period"": ""오후"", ""hour"": 4, ""is_daily"": false, ""date_type"": ""tomorrow"", ""areas"": [""출국장""]}","[""airport_congestion_prediction""]"
T1 출국 장 12 구역 오늘 오후 2시 지금 어떤 가요,"{""terminal"": [""T1""], ""area"": ""departure"", ""date"": ""오늘"", ""time_period"": ""오후"", ""hour"": 2, ""is_daily"": false, ""date_type"": ""today"", ""areas"": [""출국장"", ""출국장12""]}","[""airport_congestion_prediction""]"
아침 6시 T1 출국 장 4 구역 내일 붐빌까 봐 걱정 돼요,"{""terminal"": [""T1""], ""area"": ""departure"", ""date"": ""내일"", ""time_period"": ""아침"", ""hour"": 6, ""is_daily"": false, ""date_type"": ""tomorrow"", ""areas"": [""출국장4"", ""출국장""]}","[""airport_congestion_prediction""]"
T2 출국 장 2 구역 오늘 정오 12시 에 예상 인원 수가 어떻게 돼요,"{""terminal"": [""T2""], ""area"": ""departure"", ""date"": ""오늘"", ""hour"": 12, ""is_daily"": false, ""date_type"": ""today"", ""areas"": [""출국장2"", ""출국장""]}","[""airport_congestion_prediction""]"
밤 8시 T1 출국 장 56 구역 내일 많이 분주할까 요,"{""terminal"": [""T1""], ""area"": ""departure"", ""date"": ""내일"", ""time_period"": ""밤"", ""hour"": 8, ""is_daily"": false, ""date_type"": ""tomorrow"", ""areas"": [""출국장56"", ""출국장""]}","[""airport_congestion_prediction""]"
인천공항 모든 출국 장 오늘 아침 8시 상황 알려주세요,"{""area"": ""departure"", ""date"": ""오늘"", ""time_period"": ""아침"", ""hour"": 8, ""is_daily"": false, ""date_type"": ""today"", ""areas"": [""출국장""]}","[""airport_congestion_prediction""]"
T1 전체 출국 장 내일 밤 9시 얼마나 붐빌까 요,"{""terminal"": [""T1""], ""area"": ""departure"", ""date"": ""내일"", ""time_period"": ""밤"", ""hour"": ""9"", ""is_daily"": true, ""time_range"": ""합계"", ""date_type"": ""tomorrow"", ""areas"": [""출국장""]}","[""airport_congestion_prediction""]"
오후 6시 T1 출국 장 3 구역 오늘 출발 하는 사람 몇 명 이에요,"{""terminal"": [""T1""], ""area"": ""departure"", ""date"": ""오늘"", ""time_period"": ""오후"", ""hour"": 6, ""is_daily"": false, ""date_type"": ""today"", ""areas"": [""출국장"", ""출국장3""], ""congestion_keywords"": [""사람""]}","[""airport_congestion_prediction""]"
새벽 3시 T2 출국 장 내일 은 한산하겠죠,"{""terminal"": [""T2""], ""area"": ""departure"", ""date"": ""내일"", ""time_period"": ""새벽"", ""hour"": 3, ""is_daily"": false, ""date_type"": ""tomorrow"", ""areas"": [""출국장""]}","[""airport_congestion_prediction""]"
T1 출국 장 56 구역 오늘 오전 7시 예측 인원 좀 알려주세요,"{""terminal"": [""T1""], ""area"": ""departure"", ""date"": ""오늘"", ""time_period"": ""오전"", ""hour"": 7, ""is_daily"": false, ""date_type"": ""today"", ""areas"": [""출국장56"", ""출국장""]}","[""airport_congestion_prediction""]"
T1 출국 장 12 구역 내일 오후 5시 평소 랑 비슷할까 요,"{""terminal"": [""T1""], ""area"": ""departure"", ""date"": ""내일"", ""time_period"": ""오후"", ""hour"": 5, ""is_daily"": false, ""date_type"": ""tomorrow"", ""areas"": [""출국장"", ""출국장12""]}","[""airport_congestion_prediction""]"
오후 4시 T2 출국 장 1 구역 오늘 사람 많이 몰리나 요,"{""terminal"": [""T2""], ""area"": ""departure"", ""date"": ""오늘"", ""time_period"": ""오후"", ""hour"": 4, ""is_daily"": false, ""date_type"": ""today"", ""areas"": [""출국장1"", ""출국장""], ""congestion_keywords"": [""사람""]}","[""airport_congestion_prediction""]"
T1 출국 장 전체 내일 오후 1시 얼마나 혼잡할까 요,"{""terminal"": [""T1""], ""area"": ""departure"", ""date"": ""내일"", ""time_period"": ""오후"", ""hour"": ""1"", ""is_daily"": true, ""time_range"": ""합계"", ""date_type"": ""tomorrow"", ""areas"": [""출국장""], ""congestion_keywords"": [""혼잡""]}","[""airport_congestion_prediction""]"
인천공항 출국 장 오늘 밤 11시 에 사람 많을까요,"{""area"": ""departure"", ""date"": ""오늘"", ""time_period"": ""밤"", ""hour"": 11, ""is_daily"": false, ""date_type"": ""today"", ""areas"": [""출국장""], ""congestion_keywords"": [""사람""]}","[""airport_congestion_prediction""]"
T2 출국 장 총 예상 인원 내일 밤 10시 가 궁금해요,"{""terminal"": [""T2""], ""area"": ""departure"", ""date"": ""내일"", ""time_period"": ""밤"", ""hour"": 10, ""is_daily"": false, ""date_type"": ""tomorrow"", ""areas"": [""출국장""]}","[""airport_congestion_prediction""]"
T1 출국 장 4 구역 오늘 오후 3시 상황 좀 알려줘,"{""terminal"": [""T1""], ""area"": ""departure"", ""date"": ""오늘"", ""time_period"": ""오후"", ""hour"": 3, ""is_daily"": false, ""date_type"": ""today"", ""areas"": [""출국장4"", ""출국장""]}","[""airport_congestion_prediction""]"
오전 5시 T1 출국 장 3 구역 내일 혼잡 도 예상 좀 해주세요,"{""terminal"": [""T1""], ""area"": ""departure"", ""date"": ""내일"", ""time_period"": ""오전"", ""hour"": 5, ""is_daily"": false, ""date_type"": ""tomorrow"", ""areas"": [""출국장"", ""출국장3""], ""congestion_keywords"": [""혼잡도"", ""혼잡""]}","[""airport_congestion_prediction""]"
T2 출국 장 2 구역 오늘 오전 10시 에 사람 이 얼마나 될까 요,"{""terminal"": [""T2""], ""area"": ""departure"", ""date"": ""오늘"", ""time_period"": ""오전"", ""hour"": 10, ""is_daily"": false, ""date_type"": ""today"", ""areas"": [""출국장2"", ""출국장""], ""congestion_keywords"": [""사람""]}","[""airport_congestion_prediction""]"
